contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,symbol,timestamp,expiration,total_premium,moneyness,high_premium,high_volume_ratio,potential_block,unusual_activity
MSFT250829C00515000,2025-08-27 15:19:36+00:00,515.0,0.6,0.56,0.59,0.08000004,15.384624,2098.0,8619,0.20288883056640622,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,125880.0,OTM,True,False,True,True
MSFT250829C00517500,2025-08-27 15:16:02+00:00,517.5,0.37,0.35,0.37,0.02000001,5.7142887,377.0,4129,0.20728331787109372,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,13949.0,OTM,False,False,False,False
MSFT250829C00520000,2025-08-27 15:19:03+00:00,520.0,0.25,0.24,0.26,0.010000005,4.166669,1451.0,5967,0.21753712158203126,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,36275.0,OTM,False,False,True,True
MSFT250829C00522500,2025-08-27 15:12:51+00:00,522.5,0.15,0.16,0.18,-0.03999999,-21.052628,1367.0,3274,0.22657023437499998,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,20505.0,OTM,False,False,False,False
MSFT250829C00525000,2025-08-27 15:18:58+00:00,525.0,0.13,0.12,0.13,-0.010000005,-7.1428604,1563.0,6565,0.2368240380859375,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,20319.0,OTM,False,False,False,False
MSFT250829C00527500,2025-08-27 15:13:07+00:00,527.5,0.09,0.09,0.1,-0.019999996,-18.181814,932.0,2702,0.249030947265625,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,8388.0,OTM,False,False,False,False
MSFT250829C00530000,2025-08-27 15:05:18+00:00,530.0,0.07,0.07,0.08,-0.030000001,-30.0,141.0,4408,0.2617261328125,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,987.0000000000001,OTM,False,False,False,False
MSFT250829C00532500,2025-08-27 14:42:33+00:00,532.5,0.07,0.06,0.08,0.0,0.0,61.0,2273,0.282233740234375,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,427.00000000000006,OTM,False,False,False,False
MSFT250829C00535000,2025-08-27 15:12:22+00:00,535.0,0.05,0.05,0.06,-0.029999997,-37.499996,56.0,2967,0.2910227148437499,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,280.0,OTM,False,False,False,False
MSFT250829C00537500,2025-08-27 15:17:30+00:00,537.5,0.05,0.05,0.06,-0.02,-33.333336,27.0,484,0.31055376953124997,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,135.0,OTM,False,False,False,False
MSFT250829C00540000,2025-08-27 14:46:54+00:00,540.0,0.04,0.04,0.05,-0.010000002,-20.000002,139.0,3973,0.32227240234374993,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,556.0,OTM,False,False,False,False
MSFT250829C00542500,2025-08-27 13:37:26+00:00,542.5,0.04,0.04,0.05,-0.02,-33.333336,7.0,814,0.34180345703125,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,28.000000000000004,OTM,False,False,False,False
MSFT250829C00545000,2025-08-27 14:37:07+00:00,545.0,0.03,0.04,0.05,-0.01,-25.0,8.0,2321,0.36035795898437495,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,24.0,OTM,False,False,False,False
MSFT250829C00547500,2025-08-26 18:49:17+00:00,547.5,0.03,0.04,0.05,-0.01,-25.0,1.0,271,0.3789124609375,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,3.0,OTM,False,False,False,False
MSFT250829C00550000,2025-08-27 14:42:44+00:00,550.0,0.04,0.03,0.04,0.0,0.0,37.0,5087,0.38672488281249995,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,148.0,OTM,False,False,False,False
MSFT250829C00552500,2025-08-27 14:17:22+00:00,552.5,0.03,0.03,0.04,-0.01,-25.0,5.0,172,0.40430283203125,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,15.0,OTM,False,False,False,False
MSFT250829C00555000,2025-08-27 15:02:12+00:00,555.0,0.03,0.02,0.04,0.0,0.0,11.0,2197,0.42188078125,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,32.99999999999999,OTM,False,False,False,False
MSFT250829C00557500,2025-08-26 19:32:14+00:00,557.5,0.03,0.02,0.04,0.0,0.0,384.0,1253,0.43945873046875,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,1152.0,OTM,False,False,False,False
MSFT250829C00560000,2025-08-27 14:15:45+00:00,560.0,0.03,0.02,0.03,0.0,0.0,16.0,5346,0.4414118359375,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,48.0,OTM,False,False,False,False
MSFT250829C00562500,2025-08-26 18:46:16+00:00,562.5,0.02,0.02,0.03,0.0,0.0,1.0,735,0.45898978515625005,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,2.0,OTM,False,False,False,False
MSFT250829C00565000,2025-08-27 14:36:45+00:00,565.0,0.02,0.02,0.03,0.01,100.0,15.0,1479,0.476567734375,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,30.0,OTM,False,False,False,False
MSFT250829C00567500,2025-08-27 14:39:47+00:00,567.5,0.02,0.02,0.03,-0.01,-33.333336,7.0,24,0.49219257812500006,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,14.000000000000002,OTM,False,False,False,False
MSFT250829C00570000,2025-08-27 14:39:43+00:00,570.0,0.02,0.02,0.03,0.0,0.0,59.0,842,0.500005,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,118.0,OTM,False,False,False,False
MSFT250829C00575000,2025-08-27 15:02:23+00:00,575.0,0.02,0.02,0.03,0.0,0.0,256.0,845,0.5312546875,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,512.0,OTM,False,False,False,False
MSFT250829C00577500,2025-08-27 15:15:28+00:00,577.5,0.02,0.02,0.03,-0.01,-33.333336,73.0,705,0.5468795312500001,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,146.0,OTM,False,False,False,False
MSFT250829C00580000,2025-08-27 15:15:29+00:00,580.0,0.02,0.02,0.03,0.0,0.0,93.0,671,0.5625043750000001,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,186.0,OTM,False,False,False,False
MSFT250829C00585000,2025-08-27 14:09:19+00:00,585.0,0.01,0.01,0.02,0.0,0.0,22.0,391,0.5625043750000001,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,22.0,OTM,False,False,False,False
MSFT250829C00590000,2025-08-27 15:14:19+00:00,590.0,0.01,0.01,0.02,-0.01,-50.0,87.0,217,0.5937540625000001,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,87.0,OTM,False,False,False,False
MSFT250829C00592500,2025-08-27 14:37:54+00:00,592.5,0.01,0.01,0.02,-0.01,-50.0,40.0,71,0.6093789062500001,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,40.0,OTM,False,True,False,True
MSFT250829C00595000,2025-08-27 14:55:26+00:00,595.0,0.01,0.01,0.02,0.0,0.0,9.0,1159,0.6250037500000001,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,9.0,OTM,False,False,False,False
MSFT250829C00600000,2025-08-26 19:50:22+00:00,600.0,0.01,0.0,0.01,0.0,0.0,149.0,587,0.5937540625000001,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,149.0,OTM,False,False,False,False
MSFT250829C00605000,2025-08-22 14:19:44+00:00,605.0,0.02,0.0,0.02,0.0,0.0,1.0,53,0.6562534375000001,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,2.0,OTM,False,False,False,False
MSFT250829C00610000,2025-08-26 19:04:33+00:00,610.0,0.01,0.0,0.01,0.0,0.0,272.0,276,0.64062859375,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,272.0,OTM,False,True,False,True
MSFT250829C00615000,2025-08-26 19:50:31+00:00,615.0,0.01,0.0,0.01,0.0,0.0,1.0,21,0.6718782812500002,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,1.0,OTM,False,False,False,False
MSFT250829C00620000,2025-08-22 13:30:44+00:00,620.0,0.01,0.0,0.01,0.0,0.0,1.0,84,0.6875031250000001,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,1.0,OTM,False,False,False,False
MSFT250829C00625000,2025-08-12 13:34:28+00:00,625.0,0.01,0.0,0.01,0.0,0.0,1.0,3,0.7187528125,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,1.0,OTM,False,False,False,False
MSFT250829C00630000,2025-08-19 19:45:28+00:00,630.0,0.01,0.0,0.01,0.0,0.0,11.0,1037,0.7500025,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,11.0,OTM,False,False,False,False
MSFT250829C00635000,2025-08-25 14:30:55+00:00,635.0,0.01,0.0,0.01,0.0,0.0,4.0,11,0.7656273437500001,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,4.0,OTM,False,False,False,False
MSFT250829C00640000,2025-07-31 18:37:03+00:00,640.0,0.05,0.0,0.01,0.0,0.0,27.0,67,0.79687703125,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,135.0,OTM,False,False,False,False
MSFT250829C00645000,2025-07-31 13:30:09+00:00,645.0,0.09,0.0,0.01,0.0,0.0,,7,0.8125018749999999,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,,OTM,False,False,False,False
MSFT250829C00650000,2025-08-22 16:30:03+00:00,650.0,0.01,0.0,0.01,0.0,0.0,1.0,73,0.8437515624999999,False,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,1.0,OTM,False,False,False,False
MSFT250829P00250000,2025-08-25 13:39:07+00:00,250.0,0.01,0.0,0.01,0.0,0.0,3.0,1234,2.2500043749999996,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,3.0,OTM,False,False,False,False
MSFT250829P00270000,2025-08-22 19:06:58+00:00,270.0,0.01,0.0,0.01,0.0,0.0,3355.0,3357,2.000005,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,3354.9999999999995,OTM,False,True,False,True
MSFT250829P00280000,2025-08-19 14:03:17+00:00,280.0,0.01,0.0,0.01,0.0,0.0,1.0,24,1.875000625,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,1.0,OTM,False,False,False,False
MSFT250829P00285000,2025-07-23 14:28:22+00:00,285.0,0.06,0.0,0.02,0.0,0.0,,6,1.9375003125,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,,OTM,False,False,False,False
MSFT250829P00295000,2025-08-11 16:31:22+00:00,295.0,0.01,0.0,0.01,0.0,0.0,,15,1.75000125,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,,OTM,False,False,False,False
MSFT250829P00310000,2025-07-15 15:58:30+00:00,310.0,0.05,0.0,0.02,0.0,0.0,,0,1.65625171875,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,,OTM,False,False,False,False
MSFT250829P00315000,2025-07-18 19:35:18+00:00,315.0,0.08,0.0,0.02,0.0,0.0,,37,1.609376953125,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,,OTM,False,False,False,False
MSFT250829P00320000,2025-07-21 15:24:14+00:00,320.0,0.07,0.0,0.02,0.0,0.0,156.0,20,1.5625021874999998,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,1092.0000000000002,OTM,False,True,False,True
MSFT250829P00325000,2025-07-28 14:21:43+00:00,325.0,0.05,0.0,0.01,0.0,0.0,5.0,71,1.4375028125,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,25.0,OTM,False,False,False,False
MSFT250829P00330000,2025-07-24 14:02:53+00:00,330.0,0.06,0.0,0.02,0.0,0.0,2.0,51,1.46875265625,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,12.0,OTM,False,False,False,False
MSFT250829P00335000,2025-07-31 13:59:07+00:00,335.0,0.01,0.0,0.01,0.0,0.0,1.0,17,1.3437532812499997,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,1.0,OTM,False,False,False,False
MSFT250829P00340000,2025-07-31 13:59:07+00:00,340.0,0.04,0.0,0.01,0.0,0.0,1.0,3,1.3125034374999998,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,4.0,OTM,False,False,False,False
MSFT250829P00345000,2025-07-21 17:16:11+00:00,345.0,0.1,0.0,0.02,0.0,0.0,4.0,5,1.3125034374999998,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,40.0,OTM,False,True,False,True
MSFT250829P00350000,2025-08-25 18:59:42+00:00,350.0,0.01,0.0,0.01,0.0,0.0,10.0,14,1.1875040625,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,10.0,OTM,False,True,False,True
MSFT250829P00355000,2025-07-18 15:10:56+00:00,355.0,0.15,0.0,0.02,0.0,0.0,,2,1.21875390625,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,,OTM,False,False,False,False
MSFT250829P00360000,2025-08-18 14:19:58+00:00,360.0,0.01,0.0,0.01,0.0,0.0,61.0,215,1.125004375,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,61.0,OTM,False,False,False,False
MSFT250829P00370000,2025-08-15 13:47:49+00:00,370.0,0.01,0.0,0.01,0.0,0.0,10.0,13,1.0312548437500002,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,10.0,OTM,False,True,False,True
MSFT250829P00375000,2025-08-15 13:47:45+00:00,375.0,0.01,0.0,0.01,0.0,0.0,7.0,35,0.98437515625,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,7.000000000000001,OTM,False,False,False,False
MSFT250829P00380000,2025-08-15 15:51:24+00:00,380.0,0.01,0.0,0.01,0.0,0.0,260.0,305,0.937500625,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,260.0,OTM,False,True,False,True
MSFT250829P00385000,2025-07-31 14:55:08+00:00,385.0,0.01,0.0,0.01,0.0,0.0,1.0,3,0.9062509375,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,1.0,OTM,False,False,False,False
MSFT250829P00390000,2025-08-22 17:53:40+00:00,390.0,0.01,0.0,0.01,0.0,0.0,282.0,306,0.87500125,False,REGULAR,USD,put,MSFT,2025-08-27 11:51:40.176534,2025-08-29,282.0,OTM,False,True,False,True
